titulo,localizacion,moneda,precio,superficie_total,superficie_cubierta,dormitorios,ambientes,expensas,pisos,disposicion,piso,departamentos_x_piso,cocheras,tipo_departamento,antiguedad,con_pileta
Amenábar 3200,Amenábar 3200 - Nuñez,$,12400,4m²,31m²,Monoambiente,,$3.000,,Frente,,,,Departamento,7años,Si
Juan Francisco Segui 4400,"Juan Francisco Segui 4400, 1° piso - Palermo Nuevo",$,38000,16m²,109m²,2,,NoIncluidas,,Frente,,,,Piso,50años,
Malabia 700,Malabia 700 - Palermo,$,13000,40m²,40m²,Monoambiente,,NoIncluidas,Vistaciudad,Frente,,,11,Departamento,,
Avda. Cordoba 2200,"Avda. Cordoba 2200, 3° piso - Barrio Norte",$,16000,,63m²,2,,NoIncluidas,,Frente,,,,Departamento,35años,
2AMB.40 M2 HIPOLITO YRIGOYEN Y MAZA APTO PROFESION 4903-1900,2AMB.40 M2 HIPOLITO YRIGOYEN Y MAZA APTO PROFESION 4903-1900 - Almagro,$,8500,,40m²,1,,$2.000,Cemento,Frente,,Bueno,,Departamento,Vistaciudad,
M Ugarte 3800,M Ugarte 3800 - Coghlan,$,8500,,24m²,Monoambiente,,,,,,,,Departamento,,
Thames 1800,Thames 1800 - Palermo,$,35000,70m²,85m²,2,,,,,,,,,,
Venezuela 3500,Venezuela 3500 - Almagro,$,13200,20m²,35m²,Monoambiente,,$2.700,,Contrafrente,,,1,Departamento,,
Av Dr P Goyena 700,"Av Dr P Goyena 700, 6° piso - Caballito",$,23000,12m²,75m²,2,,$5.500,,Frente,,,,Departamento,10años,
Acoyte 400,"Acoyte 400, 1° piso - Caballito",$,17000,6m²,88m²,2,,NoIncluidas,,Contrafrente,,,,Departamento,50años,
,- Rosario,$,6300,50m²,55m²,1,,$1.500,,Frente,,2,,Departamento,2años,
AYACUCHO 2300,AYACUCHO 2300 - Rosario,$,11800,,70m²,2,,$1.900,,Frente,,,,Departamento,,
Cramer 100,Cramer 100 - Palermo Hollywood,$,15000,6m²,35m²,1,,$3.216,,Frente,,,,Departamento,5años,
Marcelo T. de Alvear 1100,"Marcelo T. de Alvear 1100, 8° piso - Recoleta",$,22000,5m²,70m²,2,,NoIncluidas,,Contrafrente,,,,Departamento,,
Nicolas Rodriguez Peña 2000,Nicolas Rodriguez Peña 2000 - Recoleta,$,13500,5m²,40m²,1,,$3.500,,,,,,Departamento,40años,
ALEM LEANDRO NICEFORO 600,ALEM LEANDRO NICEFORO 600 - Microcentro,USD,5220,,,,,,,,,,,,,
Capitán Rosales 4200,Capitán Rosales 4200 - Ciudadela,$,10000,,,2,,,,,,,,,,
Armenia 2300,"Armenia 2300, 2° piso - Botanico",$,18000,,39m²,1,,$2.700,,Interno,,,,Departamento,,
Tinogasta 4900,"Tinogasta 4900, 1º piso - Villa Devoto",$,11000,,,1,,,,Frente,,,,Departamento,,
Lambare 1100,Lambare 1100 - Villa Crespo,$,14000,,,1,,,,Contrafrente,,,1,Departamento,,
