post_id,titulo,precio,moneda,provincia,barrio,localizacion,tipo_propiedad,tipo_operacion,superficie_total,superficie_cubierta,dormitorios,ambientes,banos,expensas,piso,departamentos_x_piso,pisos,antiguedad,tipo_departamento,disposicion,condiciones_especiales,tipo_vendedor,vendedor,fotos,latitud,longitud,cocheras,descripcion,apto_credito,con_aire,con_jardin,con_parrilla,con_pileta,apto_profesional,url,
754649701,Casas en Venta en Acceso A El Cantón 1,225.000,U$S,,,Acceso A El Cantón 1 El Cantón - Escobar - Bs.as. G.b.a. Norte,Casa,Venta,,,,,,,,,,,,,,,Castex Propiedades Srl,,,,,,,,,,Si,,https://casa.mercadolibre.com.ar/MLA-754649701-emprendimiento-el-canton-_JM,
751639887,Departamentos en Venta en La Industrial 401,50.000,$,,,La Industrial 401 Paso Del Rey - Moreno - Bs.as. G.b.a. Oeste,Departamento,Venta,,,,,,,,,3,,,,,,Grupo Zag,,,,,,,,,Si,Si,,https://departamento.mercadolibre.com.ar/MLA-751639887-emprendimiento-barrancas-ndash-paso-del-rey-_JM,
734250824,Terrenos y Lotes en Venta en Avenida Nordelta 1,255.000,U$S,,,Avenida Nordelta 1 Nordelta Virazón - Tigre - Bs.as. G.b.a. Norte,Otro,Venta,,,,,,,,,,,,,,,Castex Propiedades Srl,,,,,,,,,,Si,,https://terreno.mercadolibre.com.ar/MLA-734250824-emprendimiento-nordelta-virazon-_JM,
750643956,Casas en Venta en Avenida Nordelta 100,395.000,U$S,,,Avenida Nordelta 100 Nordelta Tipas - Tigre - Bs.as. G.b.a. Norte,Casa,Venta,,,,,,,,,,,,,,,Castex Propiedades Srl,,,,,,,,,,Si,,https://casa.mercadolibre.com.ar/MLA-750643956-emprendimiento-tipas-nordelta-_JM,
744315465,Terrenos y Lotes en Venta en Calle S/n 0,24.400,U$S,,,Calle S/n 0 Canning - Ezeiza - Bs.as. G.b.a. Sur,Otro,Venta,,,,,,,,,,,,,,,Sessarego Alejandro,,,,,,,,,,,,https://terreno.mercadolibre.com.ar/MLA-744315465-emprendimiento-santa-clara-al-sur-_JM,
731579726,Departamentos en Venta en Domingo De Acassuso 1481,117.200,U$S,,,Domingo De Acassuso 1481 La Lucila - Vicente López - Bs.as. G.b.a. Norte,Departamento,Venta,,,,,,,,,14,,,,,,Solimano Dal Pos,,,,10,,,,,,Si,,https://departamento.mercadolibre.com.ar/MLA-731579726-emprendimiento-park-bamboo-_JM,
734251018,Casas en Venta en Avenida Nordelta 1,485.000,U$S,,,Avenida Nordelta 1 Nordelta Los Lagos - Tigre - Bs.as. G.b.a. Norte,Casa,Venta,,,,,,,,,,,,,,,Castex Propiedades Srl,,,,,,,,,,Si,,https://casa.mercadolibre.com.ar/MLA-734251018-emprendimiento-los-lagos-nordelta-_JM,
695640776,Terrenos y Lotes en Venta en Domingo Nazarre 2999,960.000,$,,,Domingo Nazarre 2999 Zelaya - Pilar - Bs.as. G.b.a. Norte,Otro,Venta,,,,,,,,,,,,,,,Poblardesarrollossa,,,,,,,,,,,,https://terreno.mercadolibre.com.ar/MLA-695640776-emprendimiento-lotes-terrenos-financiados-en-zelaya-pilar-venta-en-cuotas-fijas-_JM,
660775112,Departamentos en Venta en Rua Caamaño 1101,130.000,U$S,,,Rua Caamaño 1101 Villa Rosa - Pilar - Bs.as. G.b.a. Norte,Departamento,Venta,,,,,,,,3,3,,,,,,Grupo Monarca,,,,700,,,,,Si,Si,,https://departamento.mercadolibre.com.ar/MLA-660775112-emprendimiento-lagoon-pilar-_JM,
754650184,Casas en Venta en Acceso Puertos Del Lago 1,298.000,U$S,,,Acceso Puertos Del Lago 1 Puertos - Escobar - Bs.as. G.b.a. Norte,Casa,Venta,,,,,,,,,,,,,,,Castex Propiedades Srl,,,,,,,,,Si,Si,,https://casa.mercadolibre.com.ar/MLA-754650184-emprendimiento-puertos-escobar-_JM,
