post_id,titulo,precio,moneda,provincia,barrio,localizacion,tipo_propiedad,tipo_operacion,superficie_total,superficie_cubierta,dormitorios,ambientes,banos,expensas,piso,departamentos_x_piso,pisos,antiguedad,tipo_departamento,disposicion,condiciones_especiales,tipo_vendedor,vendedor,fotos,latitud,longitud,cocheras,descripcion,apto_credito,con_aire,con_jardin,con_parrilla,con_pileta,apto_profesional,url,
753746228,San Matias Al 100  San Matías  Escobar,295.000,U$S,,,San Matias Al 100 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro, 993 m² ,170 m²,3,,3,,,,1,2018 años,,,,,Pratto Propiedades,,,,,,,,Si,,Si,,https://casa.mercadolibre.com.ar/MLA-753746228-countries-y-barrios-cerrados-venta-san-matias-_JM,
747157487,El Canton - Islas Al 300  El Cantón  Escobar,309.000,U$S,,,El Canton - Islas Al 300 El Cantón - Escobar - Bs.as. G.b.a. Norte,,Otro, 803 m² ,184 m²,3,,3,,,,2,2018 años,,,,,Pratto Propiedades,,,,2,,,Si,Si,Si,Si,,https://casa.mercadolibre.com.ar/MLA-747157487-countries-y-barrios-cerrados-venta-el-canton-_JM,
747165966,San Martin Al 200  Ingeniero Maschwitz  Escobar,360.000,U$S,,,San Martin Al 200 Ingeniero Maschwitz - Escobar - Bs.as. G.b.a. Norte,,Otro, 577 m² ,194 m²,3,,3,,,,2,2017 años,,,,,Pratto Propiedades,,,,,,,,Si,,Si,,https://casa.mercadolibre.com.ar/MLA-747165966-countries-y-barrios-cerrados-venta-puertos-_JM,
747167260,San Martin Al 100  San Matías  Escobar,255.000,U$S,,,San Martin Al 100 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro, 830 m² ,152 m²,3,,3,,,,1,2017 años,,,,,Pratto Propiedades,,,,,,,,Si,,Si,,https://casa.mercadolibre.com.ar/MLA-747167260-countries-y-barrios-cerrados-venta-san-matias-_JM,
750135631,Islandia Al 2300  Fincas De Maschwitz  Escobar,210.000,U$S,,,Islandia Al 2300 Fincas De Maschwitz - Escobar - Bs.as. G.b.a. Norte,,Otro, 701 m² ,195 m²,4,,3,,,,2,19 años,,,,,Coldwell Banker Space Ba,,,,,,Si,,Si,,Si,,https://casa.mercadolibre.com.ar/MLA-750135631-countries-y-barrios-cerrados-venta-fincas-de-maschwitz-_JM,
749302946,Haras Santa Maria Al 100  Haras Santa María  Escobar,240.000,U$S,,,Haras Santa Maria Al 100 Haras Santa María - Escobar - Bs.as. G.b.a. Norte,,Otro, 176 m² ,165 m²,3,,2,,,,2,0 años,,,,,Blanco Propiedades,,,,2,,,,Si,Si,Si,,https://casa.mercadolibre.com.ar/MLA-749302946-casas-venta-haras-santa-maria-_JM,
753796375,Libertad Al 300  El Cantón  Escobar,260.000,U$S,,,Libertad Al 300 El Cantón - Escobar - Bs.as. G.b.a. Norte,,Otro, 202 m² ,170 m²,3,,4,,,,1,0 años,,,,,Top Bienes Raíces,,,,2,,,,Si,,,,https://casa.mercadolibre.com.ar/MLA-753796375-countries-y-barrios-cerrados-venta-el-canton-islas-_JM,
751665041,Puertos Del Lago - Acacias Al 100  Puertos Del Lago - Acacias  Escobar,315.000,U$S,,,Puertos Del Lago - Acacias Al 100 Puertos Del Lago - Acacias - Escobar - Bs.as. G.b.a. Norte,,Otro, 585 m² ,175 m²,3,,2,,,,2,0 años,,,,,Blanco Propiedades,,,,1,,,,Si,Si,,,https://casa.mercadolibre.com.ar/MLA-751665041-casas-venta-puertos-acacias-_JM,
753796334,Libertad Al 300  El Cantón  Escobar,235.000,U$S,,,Libertad Al 300 El Cantón - Escobar - Bs.as. G.b.a. Norte,,Otro, 1000 m² ,160 m²,3,,3,,,,,0 años,,,,,Top Bienes Raíces,,,,1,,,,Si,,Si,,https://casa.mercadolibre.com.ar/MLA-753796334-countries-y-barrios-cerrados-venta-el-canton-_JM,
753796417,Libertad Al 300  El Cantón  Escobar,219.000,U$S,,,Libertad Al 300 El Cantón - Escobar - Bs.as. G.b.a. Norte,,Otro, 985 m² ,160 m²,3,,3,,,,1,0 años,,,,,Top Bienes Raíces,,,,1,,,,Si,,Si,,https://casa.mercadolibre.com.ar/MLA-753796417-countries-y-barrios-cerrados-venta-el-canton-_JM,
753796286,Libertad Al 100  San Matías  Escobar,320.000,U$S,,,Libertad Al 100 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro, 254 m² ,224 m²,3,,4,,,,,1 años,,,,,Top Bienes Raíces,,,,,,,,,Si,Si,,https://casa.mercadolibre.com.ar/MLA-753796286-countries-y-barrios-cerrados-venta-san-matias-_JM,
753796601,Libertad Al 100  San Matías  Escobar,240.000,U$S,,,Libertad Al 100 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro, 825 m² ,155 m²,3,,3,,,,1,1 años,,,,,Top Bienes Raíces,,,,2,,,Si,,Si,Si,,https://casa.mercadolibre.com.ar/MLA-753796601-countries-y-barrios-cerrados-venta-san-matias-_JM,
