post_id,titulo,precio,moneda,provincia,barrio,localizacion,tipo_propiedad,tipo_operacion,superficie_total,superficie_cubierta,dormitorios,ambientes,banos,expensas,piso,departamentos_x_piso,pisos,antiguedad,tipo_departamento,disposicion,condiciones_especiales,tipo_vendedor,vendedor,fotos,latitud,longitud,cocheras,descripcion,apto_credito,con_aire,con_jardin,con_parrilla,con_pileta,apto_profesional,


753939766,Bouquet  Del Viso  José C. Paz,28.000,$,,,Bouquet Del Viso - José C. Paz - Bs.as. G.b.a. Norte,departamento,alquiler, 70 m² ,70 m²,1,2,,15000,,,1,0 años,,,,,Lambo Propiedades,,,,,,,Si,Si,,Si,,
754152199,Otamendi Al 300  Caballito ,14.500,$,,,Otamendi Al 300 Caballito - Capital Federal,departamento,alquiler, 61 m² ,55 m²,2,3,1,5000,,,,45 años,Departamento,Frente,,,Luis De Blas Propiedades,,,,,,,,,,,,
753768212,Condarco 103  Temperley  Lomas De Zamora,13.000,$,,,Condarco 103 Temperley - Lomas De Zamora - Bs.as. G.b.a. Sur,departamento,alquiler, 50 m² ,50 m²,2,3,1,1800,1,6,14,25 años,Departamento,Lateral,,,,,,,1,,,,,,,Si,
752624514,Gutierrez 3900  Palermo ,1.200,U$S,,,Gutierrez 3900 Palermo - Capital Federal,departamento,alquiler, 85 m² ,85 m²,2,3,2,,,2,,16 años,Departamento,,,,Lopezcastromil Propiedades,,,,1,,,Si,,,Si,,
752138674,Jose Bonifacio 1500  Caballito ,19.000,$,,,Jose Bonifacio 1500 Caballito - Capital Federal,departamento,alquiler, 50 m² ,50 m²,2,3,1,,1,2,,4 años,Departamento,Contrafrente,,,,,,,,,,,,,,,
753939783,Bouquet  Pilar,45.000,$,,,Bouquet Pilar - Bs.as. G.b.a. Norte,departamento,alquiler, 157 m² ,124 m²,2,3,2,17000,,,1,0 años,,,,,Lambo Propiedades,,,,2,,,Si,,Si,Si,,
752904747,Corro Al 400  Guemes ,8.000,$,,,Corro Al 400 Guemes - Córdoba,departamento,alquiler,,,1,2,1,,,,,0 años,,,,,Gerardo Jurgens,,,,,,,,,,,,
753484174,Av Emilio Castro 5200  Villa Luro ,14.990,$,,,Av Emilio Castro 5200 Villa Luro - Capital Federal,departamento,alquiler, 90 m² ,90 m²,2,3,1,,,,,,Ph,,,,,,,,,,,,,,,Si,
751886774,Calle 7 1987  Benavídez  Tigre,8.500,$,,,Calle 7 1987 Benavídez - Tigre - Bs.as. G.b.a. Norte,departamento,alquiler, 54 m² ,42 m²,1,2,1,,,,,2 años,Departamento,,,,,,,,,,,,,,,,
752518527,137 4449  Joaquín Gorina  La Plata,6.800,$,,,137 4449 Joaquín Gorina - La Plata - Bs.as. G.b.a. Sur,departamento,alquiler, 40 m² ,40 m²,,1,1,,,,,9 años,Monoambiente,Frente,,,,,,,,,,,,,,,
753272835,Viamonte Y Suipacha 900  Barrio Norte ,18.000,$,,,Viamonte Y Suipacha 900 Barrio Norte - Capital Federal,departamento,alquiler, 60 m² ,60 m²,2,3,2,,,,,,,,,,,,,,,,,,,,,,
